no,ticker,name,industry_code,industry
776,066590,우수AMS,033003,자동차 신품 부품 제조업
777,046940,우원개발,064201,기반조성 및 시설물 축조관련 전문공사업
778,215380,우정비에스씨,137001,자연과학 및 공학 연구개발업
779,065680,우주일렉트로,032602,전자부품 제조업
780,018620,우진비앤지,032102,의약품 제조업
781,032940,원익,074605,기계장비 및 관련 물품 도매업
782,240810,원익IPS,032902,특수 목적용 기계 제조업
783,074600,원익QnC,032301,유리 및 유리제품 제조업
784,104830,원익머트리얼즈,032001,기초 화학물질 제조업
785,014190,원익큐브,074607,기타 전문 도매업
787,012620,원일특강,032401,1차 철강 제조업
788,008370,원풍,032202,플라스틱제품 제조업
789,008290,원풍물산,031401,봉제의복 제조업
790,101160,월덱스,032602,전자부품 제조업
791,095270,웨이브일렉트로,032604,통신 및 방송 장비 제조업
792,065950,웰크론,031302,직물직조 및 직물제품 제조업
793,114190,웰크론강원,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
794,076080,웰크론한텍,032902,특수 목적용 기계 제조업
795,196700,웹스,032002,합성고무 및 플라스틱 물질 제조업
797,039790,위노바,032004,기타 화학제품 제조업
798,044340,위닉스,032805,가정용 기기 제조업
799,112040,위메이드,105802,소프트웨어 개발 및 공급업
800,038620,위즈코프,074707,연료 소매업
801,036090,위지트,032902,특수 목적용 기계 제조업
802,136540,윈스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
803,097800,윈팩,032601,반도체 제조업
804,192390,윈하이텍,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
805,036200,유니셈,032902,특수 목적용 기계 제조업
806,018000,유니슨,032901,일반 목적용 기계 제조업
807,203450,유니온커뮤니티,032604,통신 및 방송 장비 제조업
808,011320,유니크,033003,자동차 신품 부품 제조업
809,086390,유니테스트,032902,특수 목적용 기계 제조업
810,241690,유니테크노,033003,자동차 신품 부품 제조업
811,142210,유니트론텍,074605,기계장비 및 관련 물품 도매업
812,048430,유라테크,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
813,206650,유바이오로직스,137001,자연과학 및 공학 연구개발업
814,089850,유비벨록스,105802,소프트웨어 개발 및 공급업
815,032620,유비케어,105802,소프트웨어 개발 및 공급업
816,264450,유비쿼스,032604,통신 및 방송 장비 제조업
817,078070,유비쿼스홀딩스,116409,기타 금융업
818,024800,유성티엔에스,084902,육상 여객 운송업
819,054930,유신,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업"
820,069330,유아이디,032602,전자부품 제조업
821,049520,유아이엘,032602,전자부품 제조업
822,219960,유안타제2호스팩,116601,금융 지원 서비스업
823,056090,유앤아이,032701,의료용 기기 제조업
824,195990,유지인트,032902,특수 목적용 기계 제조업
825,023410,유진기업,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
826,056080,유진로봇,032902,특수 목적용 기계 제조업
827,221200,유진스팩3호,116601,금융 지원 서비스업
828,215090,유진에이씨피씨스팩2호,116601,금융 지원 서비스업
829,084370,유진테크,032902,특수 목적용 기계 제조업
830,178780,유테크,032602,전자부품 제조업
831,179900,유티아이,032602,전자부품 제조업
832,191410,육일씨엔에쓰,032602,전자부품 제조업
833,044960,이-글 벳,074607,기타 전문 도매업
834,039020,이건홀딩스,116409,기타 금융업
835,060230,이그잭스,032602,전자부품 제조업
836,067920,이글루시큐리티,105802,소프트웨어 개발 및 공급업
837,073490,이노와이어리스,032604,통신 및 방송 장비 제조업
838,215790,이노인스트루먼트,032604,통신 및 방송 장비 제조업
839,088390,이녹스,116409,기타 금융업
840,272290,이녹스첨단소재,032602,전자부품 제조업
841,053350,이니텍,105802,소프트웨어 개발 및 공급업
842,258610,이더블유케이,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
843,033110,이디,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
844,041520,이라이콤,032602,전자부품 제조업
845,054210,이랜텍,032602,전자부품 제조업
846,065440,이루온,105802,소프트웨어 개발 및 공급업
847,036260,이매진아시아,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
848,115610,이미지스,032601,반도체 제조업
849,225440,이베스트스팩3호,116409,기타 금융업
850,078020,이베스트투자증권,116601,금융 지원 서비스업
851,080010,이상네트웍스,074601,상품 중개업
853,047560,이스트소프트,105802,소프트웨어 개발 및 공급업
854,900110,이스트아시아홀딩스,116409,기타 금융업
855,067010,이씨에스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
856,223310,이에스브이,105802,소프트웨어 개발 및 공급업
857,052190,이에스에이,189001,창작 및 예술관련 서비스업
858,226360,이엑스티,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업"
859,102710,이엔에프테크놀로지,032004,기타 화학제품 제조업
860,094190,이엘케이,032602,전자부품 제조업
861,063760,이엘피,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
862,123570,이엠넷,137103,광고업
863,095190,이엠코리아,032902,특수 목적용 기계 제조업
864,091120,이엠텍,032602,전자부품 제조업
865,039030,이오테크닉스,032902,특수 목적용 기계 제조업
866,088290,이원컴포텍,033003,자동차 신품 부품 제조업
867,033600,이젠텍,033003,자동차 신품 부품 제조업
868,181340,이즈미디어,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
